Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/ATARI2600/Atari 7800 Manuals/!System Manual (Atari 7800).pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2F%21System%20Manual%20%28Atari%207800%29.pdf,2217371,084a780d93cbcf1a9bc7acea18776426,,,!System Manual (Atari 7800).pdf
docs/ATARI2600/Atari 7800 Manuals/.High Score Cartridge (Atari 7800).pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2F.High%20Score%20Cartridge%20%28Atari%207800%29.pdf,907569,d607049558250c1d90faca13859620d8,,,.High Score Cartridge (Atari 7800).pdf
docs/ATARI2600/Atari 7800 Manuals/Ace of Aces.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FAce%20of%20Aces.pdf,1269177,b3252c033b6b007346609bf86770ce6c,,,Ace of Aces.pdf
docs/ATARI2600/Atari 7800 Manuals/Alien Brigade.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FAlien%20Brigade.pdf,1198567,059d881e22169d94016a59f494b9c70a,,,Alien Brigade.pdf
docs/ATARI2600/Atari 7800 Manuals/Asteroids.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FAsteroids.pdf,583453,dfc2ed544ff0f6e99ef280cda6d748cc,,,Asteroids.pdf
docs/ATARI2600/Atari 7800 Manuals/Ballblazer.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FBallblazer.pdf,929267,d74e6859b23308fb3cbc514b1bf30f3f,,,Ballblazer.pdf
docs/ATARI2600/Atari 7800 Manuals/Barnyard Blaster.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FBarnyard%20Blaster.pdf,560136,96508a13ad5e6abe4e8116530e50d7a7,,,Barnyard Blaster.pdf
docs/ATARI2600/Atari 7800 Manuals/Basketbrawl.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FBasketbrawl.pdf,1177646,6fc9ec4cec12f566733e8827917a3846,,,Basketbrawl.pdf
docs/ATARI2600/Atari 7800 Manuals/Centipede.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FCentipede.pdf,643935,75a8def5626049ccebac7b4a7951f057,,,Centipede.pdf
docs/ATARI2600/Atari 7800 Manuals/Choplifter.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FChoplifter.pdf,466522,804535b9bef9d3cb0c947ce035f3bbc6,,,Choplifter.pdf
docs/ATARI2600/Atari 7800 Manuals/Commando.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FCommando.pdf,491878,317839a87b92983c9f4a4ec484860a3f,,,Commando.pdf
docs/ATARI2600/Atari 7800 Manuals/Crack_ed.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FCrack_ed.pdf,575129,31fed1af0331b69187a0ae6636e803a8,,,Crack_ed.pdf
docs/ATARI2600/Atari 7800 Manuals/Crossbow.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FCrossbow.pdf,978011,06438ee1e160a1d3384dd5fa3724d1dc,,,Crossbow.pdf
docs/ATARI2600/Atari 7800 Manuals/Dark Chambers.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FDark%20Chambers.pdf,812788,9f3474e9f5b962536b1b615221cb377e,,,Dark Chambers.pdf
docs/ATARI2600/Atari 7800 Manuals/Desert Falcon.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FDesert%20Falcon.pdf,819545,71d8a759ad14ec5bf930d6383774b833,,,Desert Falcon.pdf
docs/ATARI2600/Atari 7800 Manuals/Dig Dug.pdf,https://archive.org/download/mister-manuals/1986_Atari%207800.zip/1986_Atari%207800%2FDig%20Dug.pdf,467504,1657727f171ca9f312e5f2bcd3834850,,,Dig Dug.pdf
